2019-09-04 08:04:42 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-09-04 08:10:42 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-09-04 08:16:41 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-09-04 08:22:41 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-09-04 08:28:41 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-09-04 08:34:41 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-09-04 08:40:41 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-09-04 08:46:42 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-09-04 08:52:41 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-09-04 08:58:41 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-09-04 09:04:41 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-09-04 09:10:41 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-09-05 08:04:01 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-12-23 06:54:13 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-12-23 07:00:42 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-12-23 07:06:41 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-12-23 07:12:41 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-12-23 07:18:41 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-12-23 07:24:41 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-12-23 07:30:41 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-12-23 07:36:42 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-12-23 07:42:42 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-12-23 07:48:41 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-12-23 07:54:42 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-12-23 08:00:42 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2019-12-23 08:06:42 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
